,Model_Boy,Model_Göğüs,Model_Bel,Model_Kalça,Model_Beden,Model_Kilo,Type,URL,Kumaş Tipi,Desen,Kalıp,Persona,Kol Tipi,Yaka Tipi,Renk,Kol Boyu,Boy,Siluet,Ortam,Paket İçeriği,Materyal Bileşeni,,Materyal,Koleksiyon,Stil,Boy / Ölçü,Yaş,Kapama Şekli,Cep,Ürün Detayı,Ürün Tipi,Kalınlık,Ek Özellik,Sürdürülebilirlik Detayı,Sezon,Astar Durumu,Dokuma Tipi,Baskı/Nakış Tekniği,Kemer/Kuşak Durumu,Teknik,İçerik,Cep Tipi,Model,Alt-Üst Takım,Paça Tipi,Parça Sayısı,Bel
0,,,,,,,Dress,https://www.trendyol.com/pijamarks/kot-elbise-p-765717164,Denim,Düz,Kalem,Cool & Comfort,Kısa Kol,Havuz Yaka,Mavi,Askılı,Uzun,Basic,Casual/Günlük,,"98% Pamuk, 2% Polyester",T1,Denim,Basic,Trend,Maxi,,,,,,,,,,,,,,,,,,,,,
0,166,,,,S/36,44,Dress,https://www.trendyol.com/havos/leopar-desenli-beli-buzgulu-kusakli-elbise-p-312148119,,Leopar,,,,Bisiklet Yaka,Çok Renkli,Uzun,,,,,100% Viskon,,,,,,,Kuşaklı,,,,,,,,,,,,,,,,,,,
0,170,82,61,,S,54,Dress,https://www.trendyol.com/khar/kadin-kisa-kollu-maxi-elbise-khar-p-808546045,Örme,,Balık,,,,Siyah,Kısa,Uzun,,,,,,,,,,Tüm Yaş Grupları,,,,,,,,,,,,,,,,,,,,
0,170,82,61,,S,54,Dress,https://www.trendyol.com/khar/isabelle-askili-uzun-elbise-p-808544296,Örme,,Kalem,,Askılı,,Bordo,Askılı,Uzun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,Dress,https://www.trendyol.com/merry-see/cicek-desenli-askili-yirtmacli-midi-diz-alti-elbise-p-809063314,Dokuma,Desenli,Yırtmaçlı,,Askılı,,Çok Renkli,Askılı,Midi,,Casual/Günlük,,"90% Polyester, 10% Likra",,Polyester,,Günlük,Regular,,,,,Baskılı,Orta,Yırtmaçlı,,,,,,Kemersiz,,,,,,,,
0,,,,,,,Dress,https://www.trendyol.com/enmadam/mavi-gogus-dekolteli-askili-seksi-buzgulu-fantezi-elbise-p-808679291,Denim,Düz,Slim Fit,Sexy,Askılı,V Yaka,Mavi,Askılı,Mini,Skinny,Şık / gece,Tekli,,,Poliamid Karışımlı,Young,Gece,Mini,Tüm Yaş Grupları,Kapamasız,Cepsiz,Büzgü / Drape,Düz,İnce,İç Göstermeyen,Evet,NOS,Astarsız,Sandy,Baskısız,Kemersiz,,,Sahte,,,,,
0,,,,,,,Dress,https://www.trendyol.com/armonika/kadin-siyah-papatya-desen-kolsuz-etegi-firfirli-elbise-arm-22y001123-p-334621283,Dokuma,Çiçekli,Regular,Cool & Comfort,Standart Kol,Bisiklet Yaka,Siyah,Kolsuz,Mini,Eteği Fırfırlı,Casual/Günlük,Tekli,"60% Viskon, 40% Polyester",Type 1,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,Dress,https://www.trendyol.com/deafox/siyah-krep-kumas-uzun-kollu-kruvaze-yaka-elbise-p-356226919,Dokuma,Düz,Kruvaze,Feminine,Standart Kol,V Yaka,Siyah,Uzun,Midi,A-line,Şık / gece,Tekli,100% Polyester,Type 1,Krep,Basic,Gece,Midi,21 - 40 Yaş,Kapamasız,Cepsiz,,Düz,Orta,İç Göstermeyen,Hayır,,Astarsız,Krep,Baskısız,Kemersiz,,,,,,,,
0,,,,,,,Dress,https://www.trendyol.com/lumuteks/siyah-kare-yaka-uzun-kollu-esnek-uzun-elbise-p-800071371,Örme,Düz,Regular,,Uzun Kol,Kare Yaka,Siyah,Uzun,Uzun,,Casual/Günlük,,,,Viskon,,Günlük,Maxi,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,Dress,https://www.trendyol.com/know/kadin-siyah-sirt-baskili-cepli-t-shirt-elbise-p-109608107,Dokuma,Baskılı,Regular,Cool & Comfort,Standart Kol,Bisiklet Yaka,Siyah,Kısa,Mini,A-line,Casual/Günlük,Tekli,"80% Pamuk, 20% Polyester",Type 1,Pamuklu,Design,Trend,Mini,Tüm Yaş Grupları,Kapamasız,Cepsiz,,Düz,,Ek Özellik Mevcut Değil,Hayır,,,,Baskısız,Kemersiz,,,,,,,,
0,,,,,,,Dress,https://www.trendyol.com/armonika/kadin-saks-kolsuz-etegi-firfirli-cizgili-elbise-arm-19y001101-p-6783393,Dokuma,Çizgili,Relaxed,Cool & Comfort,Standart Kol,Bisiklet Yaka,Mavi,Kolsuz,Midi,A-line,Casual/Günlük,Tekli,"60% Pamuk, 40% Polyester",• 30 Derecede makinede yıkanabilir • Beyazlatıcı kullanımı önerilmez • Kurutucu kullanımı önerilmez • Tersten ve düşük ısı ile ütü önerilir • Detaylı bakım talimatları için lütfen ürün etiketini kontrol ediniz.,Viskon Karışımlı,Basic,,Mini,,,,,,,,,,,,,,,Polyester,,,,,,
0,,,,,,,Dress,https://www.trendyol.com/linda-fashion/tm-linda-fashion-tul-elbise-lacvert-p-783548397,Dokuma,Desenli,Dar,Smart/Office,Kolsuz,Dik Yaka,Lacivert,Uzun,Uzun,A-line,Casual/Günlük,Tekli,100% Polyester,Type 1,Tül,Business,Trend,Uzun,Tüm Yaş Grupları,Kapamasız,Cepsiz,Gül Detay,Şardonlu,İnce,Yırtmaçlı,Evet,,Astarlı,Tül,,Kemersiz,,,,,,,,
0,,,,,,,Dress,https://www.trendyol.com/live-sport/kadin-mini-boy-balon-kollu-krep-elbise-p-815530833,Örme,,Regular,Fashion Forward,Büzgülü/Fırfırlı Kol,Kare Yaka,Siyah,Kısa,Mini,Regular,Casual/Günlük,,"95% Polyester, 5% Elestan",,Polyester Karışımlı,,Günlük,Mini,Tüm Yaş Grupları,,Cepsiz,,Düz,Orta,,Hayır,,Astarsız,Krep,,Kemersiz,,,,,,,,
0,170,82,61,,S,54,Dress,https://www.trendyol.com/khar/kadin-kisa-kollu-maxi-elbise-khar-p-809068152,Örme,,Balık,,,,Gri,Kısa,Uzun,,,,,,,,,,Tüm Yaş Grupları,,,,,,,,,,,,,,,,,,,,
0,,79,Kuşak,90,,,Dress,https://www.trendyol.com/alesgerov/kadin-vizon-siyah-desenli-kusakli-yazlik-keten-viskon-elbise-p-698551178,Dokuma,Zebra,Bele Oturan,Fashion Forward,Kısa Kol,Kruvaze,Kahverengi,Kısa,Midi,Kruvaze,Stylish/Night,,,,Viskon,Design,Trend,Midi,,Kuşaklı,Cepsiz,Bağlama Detay,Düz,İnce,İç Göstermeyen,Organik,,Astarsız,,,Kuşaklı,,,,,,,,
0,,,,,,,Dress,https://www.trendyol.com/afis-butik/beyaz-karpuz-kollu-sirt-dekolteli-elbise-p-675555095,Dokuma,Düz,Slim Fit,Feminine,Balon Kol,Kare Yaka,Beyaz,Kısa,Mini,Basic,Şık / gece,Tekli,,Type 1,,,Trend,Mini,,Fermuarlı,Cepsiz,Bağlama Detay,,Orta,,,,,,,,,,,,,,,
0,,,,,,,Dress,https://www.trendyol.com/fav-style/kadin-tek-omuz-buzgu-detayli-mini-elbise-p-737327642,Dokuma,Düz,Slim,Young,Tek Kol,Asimetrik Yaka,Siyah,Kolsuz,Mini,Slim,Şık / gece,Tekli,,,Poliamid Karışımlı,Design,Gece,Mini,,Kapamasız,Cepsiz,Büzgü / Drape,Düz,İnce,Ek Özellik Mevcut Değil,,,Astarlı,Sandy,Baskısız,Kemersiz,,,,,,,,
0,,,,,,,Dress,https://www.trendyol.com/ozel-tasarim/maxi-elbise-uzun-elbise-yeni-sezon-elbise-beli-buzgulu-elbise-sirt-dekolteli-elbise-1725-p-222421410,Dokuma,Desenli,Regular,Cool & Comfort,Askılı,,Çok Renkli,Uzun,Uzun,,Casual/Günlük,Tekli,"95% Polyester, 5% Elastan",type 1,,Basic,Trend,Maxi,Tüm Yaş Grupları,Kapamasız,Cepsiz,,Baskılı,İnce,Ek Özellik Mevcut Değil,,,,,Baskısız,Kemersiz,,,,,,,,
0,kadın,,,,,,Dress,https://www.trendyol.com/modabetce/kruvaze-yaka-midi-boy-kadin-elbise-p-818202858,Dokuma,Zebra,Kruvaze,,Kısa Kol,Kruvaze,Lacivert,Kısa,Midi,,Günlük,,,,Viskon,,Günlük,Midi,,,Cepsiz,Lastikli Bel,Düz,İnce,,,,,,,Kemersiz,,,,,,,,
0,1.65,,,,,52,Dress,https://www.trendyol.com/missamour/kadin-siyah-trend-u-yaka-uzun-askili-elbise-p-819449978,Dokuma,,Comfort,,,,Siyah,,Uzun,,,,"90% Pamuk, 10% Polyester",type0,,,Trend,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,Dress,https://www.trendyol.com/madmext/siyah-basic-yarim-balikci-uzun-elbise-mg1856-p-743506448,Dokuma,Düz,Regular,Young,Standart Kol,Bisiklet Yaka,Siyah,Uzun,Uzun,A-line,Casual/Günlük,Tekli,"90% Pamuk, 10% Polyester",Type 1,Viskoz Karışımlı,Basic,Günlük,Uzun,Tüm Yaş Grupları,Kapamasız,Cepsiz,,Düz,,Ek Özellik Mevcut Değil,,,,,Baskısız,Kemersiz,,,,,,,,
0,,,,,,,Dress,https://www.trendyol.com/trendseninle/yesil-burumcuk-detay-kisa-kol-midi-elbise-p-819556906,Dokuma,Çizgili,Relaxed,,Standart Kol,Bisiklet Yaka,Yeşil,Kısa,Midi,,Casual/Günlük,Tekli,,,Dokuma,,Günlük,Midi,,,Cepsiz,,,,İç Göstermeyen,Hayır,,,,,Kemersiz,,,,,,,,
0,,89,64,92Model,,,Dress,https://www.trendyol.com/olalook/kadin-zebra-fusya-halter-yaka-kusakli-dokuma-viscon-elbise-elb-19001548-p-706061856,Dokuma,Çiçekli,Fitted,Cool & Comfort,Standart Kol,Bisiklet Yaka,Çok Renkli,Kolsuz,Midi,Basic,Casual/Günlük,Tekli,"50% Viskon, 50% Pamuk",• 30 Derecede makinede yıkanabilir • Beyazlatıcı kullanımı önerilmez • Kurutucu kullanımı önerilmez • Tersten ve düşük ısı ile ütü önerilir • Detaylı bakım talimatları için lütfen ürün etiketini kontrol ediniz.,Pamuklu,Basic,Günlük,Midi,,Kuşaklı,,Kuşaklı,,,,,,,,,,,,,,,,,
0,,,,,,,Dress,https://www.trendyol.com/arzulica/siyah-yirtmac-detayli-midi-elbise-113-cm-p-335669075,Örme,,Kalem,,Kolsuz,Sıfır Yaka,Siyah,Kolsuz,Midi,,Günlük,Tekli,"95% Pamuk, 5% Likra",Type 1,Pamuklu,,Günlük,Midi,,,,,,Orta,İç Göstermeyen,,,,Fitilli,,,,,,,,,,
0,,,,,,,Dress,https://www.trendyol.com/grasses-black/kadin-kirmizi-capraz-elbise-p-807682842,Örme,Düz,Bele Oturan,,Askılı,,Kırmızı,Kolsuz,Standart,,Casual/Günlük,,,,Likra,,Günlük,Mini,21 - 40 Yaş,,,,Düz,İnce,,,,Astarsız,,,Kemersiz,,,,,,,,
0,170,82,61,,S,54,Dress,https://www.trendyol.com/lumuteks/kadin-kisa-kollu-maxi-elbise-p-814927868,Örme,,Balık,,Kısa Kol,Bisiklet Yaka,Kırmızı,Kısa,Uzun,,Günlük,,,,,,Trend,Maxi,Tüm Yaş Grupları,,,,,,,,,,,,,,,,,,,,
